Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
"KEURIG GREEN MOUNTAIN, INC.",GMCR,Common,5986474,5986474,280406000,280406000,1.71,3.87,Hist,03/31/2012
New Oriental Education & Technology Group Inc.,EDU,SP ADR,9766210,9766210,268180000,268180000,1.64,,Hist,03/31/2012
Walt Disney Co,DIS,Common,5892808,-1548656,257987000,18000000,1.57,0.33,Hist,03/31/2012
WABCO Holdings Inc.,WBC,Common,4170336,4170336,252222000,252222000,1.54,6.46,Hist,03/31/2012
"Fossil Group, Inc.",FOSL,Common,1885095,1885095,248795000,248795000,1.52,3.01,Hist,03/31/2012
Michael Kors Holdings Ltd,KORS,Common,5259900,5259900,245059000,245059000,1.49,,Hist,03/31/2012
ROSS STORES INC,ROST,Common,3977296,3977296,231081000,231081000,1.41,,Hist,03/31/2012
Starz Acquisition LLC,LCAPA,Common,2263262,2263262,199507000,199507000,1.22,,Hist,03/31/2012
Sensata Technologies Holding N.V.,ST,Common,5912845,5912845,197962000,197962000,1.21,,Hist,03/31/2012
B/E AEROSPACE INC,BEAV,Common,4259738,4259738,197950000,197950000,1.21,4.10,Hist,03/31/2012
ESTEE LAUDER COMPANIES INC,EL,Common,3163643,3163643,195956000,195956000,1.20,,Hist,03/31/2012
V F CORP,VFC,Common,1320750,1320750,192803000,192803000,1.18,,Hist,03/31/2012
W R GRACE & CO,GRA,Common,3331525,3331525,192562000,192562000,1.17,,Hist,03/31/2012
ARMOR HOLDINGS INC,AH,COM,8862492,8862492,176984000,176984000,1.08,,Hist,03/31/2012
"KINDER MORGAN, INC.",KMI,COM,4239475,4239475,163856000,163856000,1.00,,Hist,03/31/2012
"Ulta Salon, Cosmetics & Fragrance, Inc.",ULTA,Common,1330266,1330266,123568000,123568000,0.75,2.15,Hist,03/31/2012
SEARS HOLDINGS CORP,SHLD,PUT,1833100,1833100,121443000,121443000,0.74,,Hist,03/31/2012
Banco Santander (Brasil) S.A.,BSBR,A,12519785,12519785,114806000,114806000,0.70,,Hist,03/31/2012
CTRIP COM INTERNATIONAL LTD,CTRP,ADR,5240339,5240339,113401000,113401000,0.69,,Hist,03/31/2012
VanceInfo Technologies Inc.,VIT,ADR,7617690,7617690,91717000,91717000,0.56,,Hist,03/31/2012
Owens Corning,OC,Common,2486720,479405,89597000,29558000,0.55,2.06,Hist,03/31/2012
WYNN RESORTS LTD,WYNN,Common,695207,695207,86817000,86817000,0.53,,Hist,03/31/2012
MEDCO HEALTH SOLUTIONS INC,MHS,Call,1100000,1100000,77330000,77330000,0.47,,Hist,03/31/2012
"TripAdvisor, Inc.",TRIP,Common,1865613,1865613,66546000,66546000,0.41,,Hist,03/31/2012
ARIBA INC,ARBA,Common,1554231,1554231,50839000,50839000,0.31,1.56,Hist,03/31/2012
WEYERHAEUSER CO,WY,PUT,2170000,2170000,47566000,47566000,0.29,,Hist,03/31/2012
iSoftStone Holdings Ltd,ISS,Common,5253739,5253739,46391000,46391000,0.28,,Hist,03/31/2012
INTEL CORP,INTC,COM,945000,945000,26569000,26569000,0.16,,Hist,03/31/2012
TRACTOR SUPPLY CO /DE/,TSCO,Common,237326,237326,21492000,21492000,0.13,,Hist,03/31/2012
7 Days Group Holdings LTD,SVN,ADR,1108375,1108375,13888000,13888000,0.08,,Hist,03/31/2012
"China Lodging Group, Ltd",HTHT,Com,950364,950364,11110000,11110000,0.07,,Hist,03/31/2012
Yandex N.V.,YNDX,COM,0,-637699,0,-12563000,0.00,0.00,Hist,03/31/2012
Arcos Dorados Holdings Inc.,ARCO,Common,0,-824599,0,-16929000,0.00,0.00,Hist,03/31/2012
TESLA MOTORS INC,TSLA,PUT,0,-703000,0,-20078000,0.00,0.00,Hist,03/31/2012
EBAY INC,EBAY,Common,0,-2517124,0,-76344000,0.00,0.00,Hist,03/31/2012
BED BATH & BEYOND INC,BBBY,Put,0,-280000,0,-6544000,0.00,0.00,Hist,03/31/2012
"NetApp, Inc.",NTAP,Common,0,-9999193,0,-362671000,0.00,0.00,Hist,03/31/2012
"Fossil Group, Inc.",FOSL,CALL,0,-640000,0,-50790000,0.00,0.00,Hist,03/31/2012
"KEURIG GREEN MOUNTAIN, INC.",GMCR,CALL,0,-700000,0,-31395000,0.00,0.00,Hist,03/31/2012
"NetApp, Inc.",NTAP,CALL,0,-2200000,0,-79794000,0.00,0.00,Hist,03/31/2012
"SolarWinds, Inc.",SWI,COM,0,-2788081,0,-77927000,0.00,0.00,Hist,03/31/2012
WILLIS TOWERS WATSON PLC,WSH,Common,0,-3529442,0,-136942000,0.00,0.00,Hist,03/31/2012
FMC TECHNOLOGIES INC,FTI,Common,0,-6238283,0,-325826000,0.00,0.00,Hist,03/31/2012
Homeinns Hotel Group,HMIN,SP ADR,0,-1159739,0,-29921000,0.00,0.00,Hist,03/31/2012
WILLIAMS SONOMA INC,WSM,Common,0,-6235380,0,-240062000,0.00,0.00,Hist,03/31/2012
