Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
DV,201012,0,0,-3188938.0,-156928000.0,47.98,,42.94,-153005245.23999998
DVA,201109,0,0,-167405.0,-14499000.0,62.67,,73.58,-10491271.35
DVA,201306,0,0,-1989505.0,-235935000.0,120.8,,124.07,-240332204.0
DVA,201406,0,0,-3655739.0,-251698000.0,72.32,,70.59,-264383044.48
DVA,201512,0,0,-7918998.0,-572781000.0,69.71,,73.04,-552033350.5799999
DWRI,200509,0,0,-1145758.0,-20738000.0,9.03,,11.52,-10346194.739999998
EA,200503,0,0,-557572.0,-34391000.0,61.67992653863537,,61.67992653863537,-34391000.0
EA,201706,0,0,-7779975.0,-696463000.0,105.72,,113.33,-822498957.0
EA,201812,0,0,-7855868.0,-946554000.0,78.91,,84.07,-619906543.88
EBAY,200503,0,0,-307000.0,-35716000.0,37.26,,42.84,-11438820.0
EBAY,201203,0,0,-2517124.0,-76344000.0,36.9,,35.74,-92881875.6
EBAY,201312,0,0,-10922795.0,-609437000.0,54.865,,50.52,-599279147.6750001
EBAY,201703,0,0,-9605806.0,-285196000.0,33.57,,33.9,-322466907.42
ECA,201706,0,0,-23465824.0,-274785000.0,8.8,,9.72,-206499251.20000002
ECL,200909,0,0,-3485258.0,-135890000.0,46.23,,42.29,-161123477.34
EDU,201112,0,0,-6726851.0,-154516000.0,24.05,,25.24,-161780766.55
EDU,201209,0,0,-7994383.0,-195862000.0,16.67,,13.9,-133266364.61000001
EL,201112,0,0,-1835338.0,-161216000.0,112.32,A,117.98,-206145164.16
EL,201209,0,0,-3163643.0,-171216000.0,61.57,A,59.95,-194785499.51
EMC,200806,0,0,-10655975.0,-152807000.0,14.69,,17.44,-156536272.75
EMR,201109,0,0,-943636.0,-53080000.0,41.31,,46.55,-38981603.160000004
ENDP,201403,0,0,-4340000.0,-292776000.0,68.65,,79.82,-297941000.0
ENDP,201406,0,0,-4178703.0,-286868000.0,70.02,,70.59,-292592784.06
ENDP,201512,0,0,-3859641.0,-267396000.0,61.22,,61.48,-236287222.01999998
EQIX,200709,0,0,-2683786.0,-245486000.0,88.69,,88.51,-238024980.34
EQIX,201112,0,0,-3142821.0,-279177000.0,101.4,,100.02,-318682049.40000004
EQIX,201312,0,0,-2167116.0,-397991000.0,177.45,,160.7,-384554734.2
EQIX,201803,0,0,-1122529.0,-508753000.0,418.14001,,392.10001,-469374287.28529
