Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
MON,201311,9354853,976366000,0,0,113.33,,104.88,1060185490.49
MON,201401,5830407,679534000,0,0,106.55,,116.55,621229865.85
MON,201402,5830407,679534000,0,0,110.02,,106.55,641461378.14
MON,201404,5767733,656195000,0,0,110.7,,113.77,638488043.1
MON,201405,5767733,656195000,0,0,121.85,,110.7,702798266.05
MPEL,200907,15964463,71840000,0,0,5.56,,4.5,88762414.28
MPEL,200908,15964463,71840000,0,0,6.13,,5.56,97862158.19
MPEL,200909,15964463,111113000,0.0,39273000.0,6.96,,6.13,111112662.48
MPEL,200910,15964463,111113000,0,0,4.96,,6.96,79183736.48
MPEL,200911,15964463,111113000,0,0,4.23,,4.96,67529678.49000001
MPEL,201001,8163053,27428000,0,0,3.57,,3.36,29142099.209999997
MPEL,201002,8163053,27428000,0,0,4.04,,3.57,32978734.12
MR,200907,440713,12305000,0,0,29.72,A,27.92,13097990.36
MR,200908,440713,12305000,0,0,30.9,A,29.72,13618031.7
MR,200910,866579,28285000,0,0,30.73,A,32.64,26629972.67
MR,200911,866579,28285000,0,0,30.28,A,30.73,26240012.12
MR,201001,566579,19218000,0,0,34.87,A,33.92,19756609.729999997
MR,201002,566579,19218000,0,0,38.16,A,34.87,21620654.639999997
MR,201004,464572,16920000,0,0,38.2,A,36.42,17746650.400000002
MR,201005,464572,16920000,0,0,29.74,A,38.2,13816371.28
MRX,200507,1288400,40881000,0,0,33.92,A,31.73,43702528.0
MRX,200508,1288400,40881000,0,0,34.01,A,33.92,43818484.0
MRX,200510,1208400,39346000,0,0,29.5,A,32.56,35647800.0
MRX,200511,1208400,39346000,0,0,31.91,A,29.5,38560044.0
MSCI,200801,22700,872000,0.0,0.0,38.414096916299556,,38.414096916299556,871999.9999999999
MSCI,200802,22700,872000,0.0,0.0,38.414096916299556,,38.414096916299556,871999.9999999999
MSCI,200910,4668255,138274000,0.0,0.0,29.620061457653875,,29.620061457653875,138274000.0
MSCI,200911,4668255,138274000,0.0,0.0,29.620061457653875,,29.620061457653875,138274000.0
MSCI,201001,4586985,145866000,0.0,0.0,31.799973185000606,,31.799973185000606,145866000.0
MSCI,201002,4586985,145866000,0.0,0.0,31.799973185000606,,31.799973185000606,145866000.0
MSFT,200501,2508508,67027000,0,0,26.28,,26.72,65923590.24
MSFT,200502,2508508,67027000,0,0,25.16,,26.28,63114061.28
MSFT,201401,25474910,953016000,0,0,37.84,,37.41,963970594.4000001
MSFT,201402,25474910,953016000,0,0,38.31,,37.84,975943802.1
MSFT,201404,28064888,1150380000,0,0,40.4,,40.99,1133821475.2
MSFT,201405,28064888,1150380000,0,0,40.94,,40.4,1148976514.72
MSFT,201407,26347204,1098678000,0,0,43.16,,41.7,1137145324.6399999
MSFT,201408,26347204,1098678000,0,0,45.43,,43.16,1196953477.72
MSFT,201410,22335690,1035483000,0,0,46.95,,46.36,1048660645.5000001
MSFT,201411,22335690,1035483000,0,0,47.81,,46.95,1067869338.9000001
MSFT,201501,5449944,253149899000,0,0,40.4,,46.45,220177737.6
MSFT,201502,5449944,253149899000,0,0,43.85,,40.4,238980044.4
MSFT,201504,14486109,588933000,0,0,48.64,,40.655,704604341.76
MSFT,201505,14486109,588933000,0,0,46.86,,48.64,678819067.74
MSFT,201507,26598524,1174325000,0,0,46.7,,44.15,1242151070.8000002
MSFT,201508,26598524,1174325000,0,0,43.52,,46.7,1157567764.48
MSFT,201510,25339024,1121505000,0,0,52.64,,44.26,1333846223.3600001
MSFT,201511,25339024,1121505000,0,0,54.35,,52.64,1377175954.4
MSFT,201601,27262024,1512497000,0,0,55.09,,55.48,1501864902.16
MSFT,201602,27262024,1512497000,0,0,50.88,,55.09,1387091781.1200001
MSFT,201607,17298996,885190000,0,0,56.68,,51.17,980507093.28
MSFT,201608,17298996,885190000,0,0,57.46,,56.68,994000310.16
MSFT,201610,14513996,836006000,0,0,59.92,,57.6,869678640.32
MSFT,201611,14513996,836006000,0,0,60.26,,59.92,874613398.9599999
MSFT,201701,15213996,945398000,0,0,64.65,,62.14,983584841.4000001
MSFT,201702,15213996,945398000,0,0,63.98,,64.65,973391464.0799999
MSFT,201707,9687742,667776000,0,0,72.7,,68.93,704298843.4
MSFT,201708,9687742,667776000,0,0,74.77,,72.7,724352469.3399999
