gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
36295,20191231,2019,INDL,C,D,STD,BRLIU,USD,A,,,,
36298,20181231,2018,INDL,C,D,STD,CHAQ.U,USD,A,,,,
36300,20181231,2018,INDL,C,D,STD,LYRA,USD,A,3520,352020,35,35202010
36301,20181231,2018,INDL,C,D,STD,ZNTL,USD,A,3520,352010,35,35201010
36302,20181231,2018,INDL,C,D,STD,AYLA,USD,A,3520,352010,35,35201010
36309,20170630,2017,INDL,C,D,STD,MSGE,USD,A,5020,502020,50,50202010
36327,20191231,2019,INDL,C,D,STD,SOAC.U,USD,A,,,,
36328,20181231,2018,INDL,C,D,STD,KROS,USD,A,3520,352010,35,35201010
36336,20180331,2017,INDL,C,D,STD,UTME,USD,A,4520,452030,45,45203020
36349,20191231,2019,INDL,C,D,STD,HCD,USD,A,,,,
36384,20180630,2018,INDL,C,D,STD,FCST,USD,A,,,,
36394,20181231,2018,INDL,C,D,STD,LTRN,USD,A,3520,352010,35,35201010
36395,20181231,2018,INDL,C,D,STD,KC,USD,A,4510,451020,45,45102030
36399,20181231,2018,INDL,C,D,STD,GOED,USD,A,,,,
36409,20180331,2017,INDL,C,D,STD,NGJY,USD,A,,,,
36410,20191231,2019,INDL,C,D,STD,BMRG,USD,A,,,,
36416,20181231,2018,INDL,C,D,STD,EBON,USD,A,,,,
36418,20191231,2019,INDL,C,D,STD,JWS.U,USD,A,,,,
36444,20181231,2018,INDL,C,D,STD,UCL,USD,A,,,,
36464,20181231,2018,INDL,C,D,STD,PLRX,USD,A,3520,352020,35,35202010
36465,20181231,2018,INDL,C,D,STD,KRBP,USD,A,3520,352010,35,35201010
36473,20181231,2018,INDL,C,D,STD,RNA,USD,A,,,,
36477,20181231,2018,INDL,C,D,STD,DADA,USD,A,,,,
36494,20181231,2018,INDL,C,D,STD,FOUR,USD,A,4510,451020,45,45102020
36495,20191231,2019,INDL,C,D,STD,MCACU,USD,A,,,,
36496,20181231,2018,INDL,C,D,STD,ATMI,USD,A,,,,
39082,20181231,2018,INDL,C,D,STD,IEDI,USD,A,,,,
60796,20001231,2000,INDL,C,D,STD,MEDC.,USD,I,3510,351010,35,35101020
60797,20001231,2000,INDL,C,D,STD,AVNT,USD,I,4510,451030,45,45103010
60798,20001231,2000,INDL,C,D,STD,TTEN.,USD,I,1010,101020,10,10102020
60800,20001231,2000,INDL,C,D,STD,SBGI,USD,A,5020,502010,50,50201020
60801,20001231,2000,INDL,C,D,STD,SCKT,USD,A,4520,452020,45,45202030
60802,20001231,2000,INDL,C,D,STD,TRMPQ,USD,I,2530,253010,25,25301010
60803,20041231,2004,INDL,C,D,STD,3UNNF,USD,I,4010,401010,40,40101015
60811,20001231,2000,INDL,C,D,STD,PCSNF,CAD,I,2020,202010,20,20201050
60812,20000930,2000,INDL,C,D,STD,NSLB,USD,I,4010,401010,40,40101010
60814,20001231,2000,INDL,C,D,STD,SWW,USD,I,2020,202010,20,20201060
60818,20000331,1999,INDL,C,D,STD,GCPL,USD,I,4020,402030,40,40203020
60823,20001231,2000,INDL,C,D,STD,YANB,USD,I,4010,401010,40,40101015
60835,20001231,2000,INDL,C,D,STD,0994B,USD,I,3510,351020,35,35102015
60839,20001231,2000,INDL,C,D,STD,9101B,USD,I,2510,251010,25,25101010
60844,20151231,2015,INDL,C,D,STD,CEPU,USD,A,5510,551050,55,55105010
60845,20001231,2000,INDL,C,D,STD,LOGN,USD,I,4010,401020,40,40102010
